"rank","name","pop2021","pop2010","growth","density","aland_sqmi"
"338","Oroville","1663","1712","-0.0286","984","1.6900"
"339","Kettle Falls","1639","1585","0.0341","1522","1.0770"
"341","Wilderness Rim","1633","1523","0.0722","2625","0.6220"
"340","Stevenson","1633","1479","0.1041","993","1.6450"
"342","Soap Lake","1615","1548","0.0433","1051","1.5370"
"343","Long Beach","1606","1395","0.1513","1165","1.3790"
"344","Sumas","1604","1310","0.2244","1091","1.4700"
"345","Rocky Point","1596","1564","0.0205","2254","0.7080"
"346","Ames Lake","1556","1486","0.0471","973","1.5990"
"347","McMillin","1551","1547","0.0026","939","1.6520"
"348","Dallesport","1515","1202","0.2604","225","6.7330"
"349","Winlock","1486","1359","0.0935","1150","1.2920"
"350","Home","1477","1377","0.0726","234","6.3230"
"351","Kittitas","1475","1365","0.0806","1891","0.7800"
"352","Purdy","1439","1544","-0.0680","613","2.3490"
"353","Darrington","1423","1349","0.0549","823","1.7280"
"354","Woodway","1393","1309","0.0642","1193","1.1680"
"355","Pomeroy","1375","1427","-0.0364","774","1.7760"
"356","Entiat","1362","1116","0.2204","624","2.1820"
"357","Lake Marcel-Stillwater","1360","1277","0.0650","1065","1.2770"
"358","Manson","1336","1468","-0.0899","1066","1.2530"
"359","Tieton","1324","1185","0.1173","1511","0.8760"
"360","Duluth","1314","1544","-0.1490","220","5.9720"
"361","Swede Heaven","1297","768","0.6888","181","7.1820"
"362","Garrett","1280","1419","-0.0980","763","1.6770"
"363","Asotin","1275","1252","0.0184","1116","1.1420"
"364","Rock Island","1272","875","0.4537","1551","0.8200"
"365","Waitsburg","1271","1219","0.0427","1071","1.1870"
"366","Morton","1233","1126","0.0950","1502","0.8210"
"367","Waterville","1225","1139","0.0755","1416","0.8650"
"368","Basin City","1209","1092","0.1071","379","3.1890"
"369","Crocker","1196","1268","-0.0568","167","7.1580"
"370","Anderson Island","1181","1037","0.1389","149","7.9240"
"371","Yarrow Point","1161","1006","0.1541","3172","0.3660"
"372","Langley","1154","1018","0.1336","1145","1.0080"
"373","Clear Lake","1126","1419","-0.2065","133","8.4810"
"374","Puget Island","1118","831","0.3454","148","7.5720"
"375","Point Roberts","1116","1314","-0.1507","228","4.8850"
"376","Tonasket","1115","1145","-0.0262","1181","0.9440"
"377","Dash Point","1105","931","0.1869","1743","0.6340"
"378","Browns Point","1104","0","","2739","0.4030"
"379","Buena","1084","990","0.0949","1594","0.6800"
"380","Palouse","1077","995","0.0824","1029","1.0470"
"381","Coulee Dam","1074","1099","-0.0227","1500","0.7160"
"382","Republic","1068","1064","0.0038","752","1.4200"
"383","Neah Bay","1049","865","0.2127","447","2.3490"
"384","Grand Coulee","1046","1032","0.0136","833","1.2560"
"385","Lakeview","1044","915","0.1410","927","1.1260"
"386","Ilwaco","1031","938","0.0991","499","2.0680"
"387","North Bonneville","1027","963","0.0665","407","2.5250"
"388","Electric City","1004","981","0.0234","505","1.9900"
"389","Twisp","991","904","0.0962","848","1.1690"
"390","Tanner","985","1018","-0.0324","257","3.8390"
"391","Machias","981","1178","-0.1672","400","2.4500"
"392","La Conner","969","871","0.1125","2435","0.3980"
"393","Summitview","960","967","-0.0072","379","2.5300"
"394","Roslyn","958","893","0.0728","218","4.3880"
"395","Lake Bosworth","935","667","0.4018","274","3.4110"
"398","Port Gamble Tribal Community","914","916","-0.0022","216","4.2290"
"397","Odessa","914","913","0.0011","1126","0.8120"
"396","Clear Lake","914","1002","-0.0878","482","1.8980"
"399","Brady","902","676","0.3343","148","6.1120"
"400","McKenna","892","716","0.2458","820","1.0880"
"401","Clinton","891","928","-0.0399","880","1.0120"
"402","Lake Ketchum","889","930","-0.0441","428","2.0760"
"403","Seabeck","885","1105","-0.1991","267","3.3200"
"404","Wilbur","881","870","0.0126","668","1.3190"
"406","White Swan","851","793","0.0731","319","2.6670"
"405","Ruston","851","750","0.1347","3324","0.2560"
"407","Mossyrock","846","759","0.1146","1231","0.6870"
"408","Naches","845","830","0.0181","991","0.8530"
"409","Malott","840","487","0.7248","456","1.8410"
"410","Marrowstone","831","844","-0.0154","132","6.3000"
"411","Cowiche","821","428","0.9182","1570","0.5230"
"412","Roy","818","779","0.0501","1694","0.4830"
"413","Toledo","797","720","0.1069","2023","0.3940"
"415","Grapeview","784","954","-0.1782","214","3.6690"
"414","Brinnon","784","797","-0.0163","82","9.5890"
"416","Loon Lake","780","783","-0.0038","239","3.2630"
"417","Tekoa","779","780","-0.0013","635","1.2260"
"418","Carbonado","777","607","0.2801","1868","0.4160"
"419","May Creek","766","818","-0.0636","1204","0.6360"
"420","Bingen","748","715","0.0462","1201","0.6230"
"421","Carlsborg","745","995","-0.2513","704","1.0580"
"422","Concrete","744","704","0.0568","634","1.1730"
"423","Cherry Grove","738","546","0.3516","311","2.3710"
"424","Grayland","722","953","-0.2424","106","6.8380"
"425","Pateros","714","679","0.0515","1414","0.5050"
"426","Oakville","704","688","0.0233","1275","0.5520"
"427","Dollars Corner","699","0","","177","3.9570"
"429","Vaughn","697","544","0.2813","297","2.3440"
"428","Quilcene","697","596","0.1695","79","8.8110"
"431","Vader","694","622","0.1158","747","0.9290"
"430","River Road","694","454","0.5286","1972","0.3520"
"432","Pe Ell","693","631","0.0983","1173","0.5910"
"433","Cohassett Beach","691","722","-0.0429","532","1.2990"
"434","Taholah","665","840","-0.2083","192","3.4580"
"435","Bay View","662","696","-0.0489","255","2.5970"
"436","Verlot","651","285","1.2842","60","10.8550"
"437","Lake Roesiger","648","503","0.2883","166","3.9140"
"438","Satsop","646","675","-0.0430","92","7.0200"
"439","Fairfield","642","614","0.0456","1042","0.6160"
"440","Reardan","638","570","0.1193","1286","0.4960"
"441","Harrah","634","626","0.0128","2935","0.2160"
"442","Nisqually Indian Community","631","575","0.0974","223","2.8270"
"443","Trout Lake","624","557","0.1203","90","6.9400"
"444","Sunday Lake","613","640","-0.0422","354","1.7300"
"445","Curlew Lake","610","462","0.3203","140","4.3520"
"446","Skokomish","609","617","-0.0130","91","6.7010"
"447","Bell Hill","608","837","-0.2736","229","2.6510"
"448","Bucoda","598","562","0.0641","1066","0.5610"
"449","Garfield","593","599","-0.0100","631","0.9400"
"450","Albion","588","590","-0.0034","1500","0.3920"
"451","Cathlamet","586","533","0.0994","1170","0.5010"
"452","Copalis Beach","578","415","0.3928","158","3.6600"
"453","Startup","573","676","-0.1524","138","4.1410"
"454","Lind","571","564","0.0124","517","1.1050"
"455","Coulee City","564","562","0.0036","610","0.9240"
"456","South Cle Elum","551","530","0.0396","1374","0.4010"
"457","Clayton","547","443","0.2348","424","1.2900"
"458","Rosalia","546","549","-0.0055","869","0.6280"
